types,counts,probs,total_unique
Ezra,6044,0.003330796475880658,14103
Aaron,5991,0.003301588631204669,14103
Landon,5858,0.0032282934738102073,14103
Adrian,5815,0.003204596543224028,14103
Jonathan,5770,0.003179797429819887,14103
Nolan,5625,0.003099889175517654,14103
Jeremiah,5618,0.0030960315356547874,14103
Easton,5459,0.0030084080016268217,14103
Elias,5347,0.0029466857638209593,14103
Colton,5312,0.002927397564506627,14103
Cameron,5310,0.0029262953816886652,14103
Carson,5258,0.0028976386284216577,14103
Robert,5186,0.0028579600469750316,14103
Angel,5061,0.002789073620852417,14103
Maverick,5039,0.002776949609854837,14103
Nicholas,4840,0.0026672824194676347,14103
Dominic,4792,0.0026408300318365506,14103
Jaxson,4765,0.002625950563794066,14103
Greyson,4753,0.002619337466886295,14103
Adam,4709,0.002595089444891135,14103
Ian,4703,0.002591782896437249,14103
Jordan,4696,0.002587925256574383,14103
Austin,4687,0.0025829654338935543,14103
Santiago,4668,0.002572494697122917,14103
Cooper,4472,0.0024644807809626576,14103
Brayden,4419,0.002435272936286669,14103
Evan,4388,0.0024181891026082607,14103
Roman,4387,0.0024176380111992795,14103
Ezekiel,4363,0.0024044118173837375,14103
Xavier,4335,0.002388981257932272,14103
Jose,4317,0.0023790616125706153,14103
Jace,4301,0.0023702441500269207,14103
Jameson,4249,0.002341587396759913,14103
Bryson,4221,0.0023261568373084476,14103
Leonardo,4221,0.0023261568373084476,14103
Axel,4071,0.00224349312596131,14103
Everett,4025,0.002218142921148188,14103
Parker,4005,0.0022071210929685697,14103
Kayden,3999,0.002203814544514684,14103
Miles,3989,0.002198303630424875,14103
Sawyer,3878,0.0021371324840279934,14103
Jason,3873,0.0021343770269830887,14103
Declan,3812,0.0021007604510352527,14103
Weston,3778,0.0020820233431299018,14103
Micah,3773,0.002079267886084997,14103
Ayden,3682,0.0020291185678677336,14103
Wesley,3627,0.0019988085403737834,14103
Luca,3613,0.0019910932606480502,14103
Zachary,3574,0.0019696006956977947,14103
Vincent,3570,0.0019673963300618712,14103
Damian,3551,0.001956925593291234,14103
Silas,3516,0.0019376373939769015,14103
Gavin,3471,0.0019128382805727604,14103
Kai,3457,0.0019051230008470274,14103
Chase,3455,0.0019040208180290657,14103
Emmett,3435,0.0018929989898494473,14103
Harrison,3412,0.0018803238874428863,14103
Nathaniel,3389,0.0018676487850363252,14103
Kingston,3377,0.0018610356881285542,14103
Cole,3346,0.0018439518544501458,14103
Tyler,3335,0.0018378898489513557,14103
Bennett,3299,0.0018180505582280427,14103
Bentley,3274,0.0018042732730035199,14103
Ryker,3245,0.0017882916221430732,14103
Tristan,3227,0.0017783719767814168,14103
Brandon,3208,0.0017679012400107794,14103
Kevin,3143,0.0017320802984270198,14103
Luis,3098,0.0017072811850228785,14103
George,3082,0.001698463722479184,14103
Ashton,3051,0.0016813798888007756,14103
Rowan,3038,0.0016742157004840236,14103
Braxton,3012,0.0016598873238505198,14103
Ryder,3009,0.001658234049623577,14103
Gael,2931,0.0016152489197230656,14103
Ivan,2908,0.0016025738173165046,14103
Maxwell,2903,0.0015998183602716,14103
Diego,2884,0.0015893476235009625,14103
Max,2875,0.0015843878008201342,14103
Carlos,2863,0.0015777747039123632,14103
Kaiden,2859,0.0015755703382764395,14103
Juan,2843,0.0015667528757327448,14103
Maddox,2810,0.0015485668592363747,14103
Justin,2805,0.00154581140219147,14103
Waylon,2788,0.0015364428482387946,14103
Giovanni,2769,0.0015259721114681572,14103
Calvin,2760,0.0015210122887873289,14103
Jonah,2723,0.001500621906655035,14103
Abel,2681,0.0014774760674778364,14103
Jayce,2654,0.0014625965994353517,14103
Jesus,2642,0.0014559835025275808,14103
King,2611,0.0014388996688491724,14103
Amir,2604,0.0014350420289863058,14103
Beau,2597,0.0014311843891234395,14103
Camden,2560,0.0014107940069911457,14103
Alex,2525,0.0013915058076768136,14103
Malachi,2506,0.0013810350709061762,14103
Jasper,2503,0.0013793817966792335,14103
Jude,2497,0.0013760752482253479,14103
Brody,2480,0.0013667066942726722,14103
Blake,2464,0.0013578892317289777,14103
Emmanuel,2424,0.001335845575369741,14103
Eric,2407,0.0013264770214170653,14103
Brooks,2379,0.0013110464619655998,14103
Elliot,2375,0.0013088420963296762,14103
Antonio,2372,0.0013071888221027333,14103
Abraham,2371,0.0013066377306937525,14103
Timothy,2355,0.0012978202681500578,14103
Finn,2328,0.001282940800107573,14103
Rhett,2313,0.0012746744289728594,14103
Elliott,2307,0.0012713678805189737,14103
August,2291,0.001262550417975279,14103
Edward,2285,0.0012592438695213936,14103
Xander,2273,0.0012526307726136226,14103
Dean,2256,0.0012432622186609472,14103
Lorenzo,2251,0.0012405067616160425,14103
Alan,2250,0.0012399556702070616,14103
Bryce,2241,0.0012349958475262332,14103
Karter,2236,0.0012322403904813288,14103
Victor,2224,0.0012256272935735578,14103
Milo,2198,0.001211298916940054,14103
Miguel,2185,0.001204134728623302,14103
Hayden,2181,0.0012019303629873784,14103
Zion,2181,0.0012019303629873784,14103
Graham,2174,0.001198072723124512,14103
Tucker,2171,0.0011964194488975693,14103
Grant,2167,0.0011942150832616456,14103
Jesse,2144,0.0011815399808550846,14103
Zayden,2144,0.0011815399808550846,14103
Richard,2137,0.001177682340992218,14103
Joel,2130,0.0011738247011293516,14103
Patrick,2123,0.0011699670612664852,14103
Emiliano,2116,0.0011661094214036188,14103
Avery,2114,0.001165007238585657,14103
Brantley,2107,0.0011611495987227905,14103
Myles,2102,0.0011583941416778859,14103
Dawson,2098,0.0011561897760419622,14103
Nicolas,2097,0.0011556386846329814,14103
Matteo,2095,0.0011545365018150195,14103
River,2074,0.0011429635822264204,14103
Steven,2043,0.001125879748548012,14103
Zane,2030,0.00111871556023126,14103
Thiago,2023,0.0011148579203683936,14103
Judah,2021,0.0011137557375504317,14103
Matias,2014,0.0011098980976875653,14103
Messiah,1998,0.0011010806351438706,14103
Jeremy,1966,0.0010834457100564814,14103
Preston,1965,0.0010828946186475005,14103
Oscar,1956,0.0010779347959666721,14103
Kaleb,1923,0.001059748779470302,14103
Alejandro,1900,0.001047073677063741,14103
Marcus,1899,0.00104652258565476,14103
Mark,1873,0.0010321942090212562,14103
Peter,1824,0.0010051907299811912,14103
Maximus,1817,0.0010013330901183248,14103
Barrett,1808,0.0009963732674374967,14103
Jax,1765,0.0009726763368513171,14103
Andres,1741,0.0009594501430357752,14103
Legend,1731,0.000953939228945966,14103
Charlie,1730,0.0009533881375369852,14103
Holden,1730,0.0009533881375369852,14103
Knox,1706,0.0009401619437214431,14103
Kaden,1700,0.0009368553952675576,14103
Paxton,1694,0.0009335488468136721,14103
Kyrie,1690,0.0009313444811777484,14103
