types,counts,totalunique,probs
Cash,5,1097,0.0
Chancey,5,1097,0.0
Chase,5,1097,0.0
Clarance,5,1097,0.0
Claus,5,1097,0.0
Cleon,5,1097,0.0
Clive,5,1097,0.0
Collins,5,1097,0.0
Conley,5,1097,0.0
Cora,5,1097,0.0
Courtney,5,1097,0.0
Cris,5,1097,0.0
Dawson,5,1097,0.0
Delmer,5,1097,0.0
Dexter,5,1097,0.0
Doctor,5,1097,0.0
Domingo,5,1097,0.0
Drury,5,1097,0.0
Duane,5,1097,0.0
Ebb,5,1097,0.0
Edith,5,1097,0.0
Elon,5,1097,0.0
Elsie,5,1097,0.0
Erle,5,1097,0.0
Estevan,5,1097,0.0
Evans,5,1097,0.0
Ewell,5,1097,0.0
Festus,5,1097,0.0
Fitzhugh,5,1097,0.0
Fount,5,1097,0.0
Fredric,5,1097,0.0
French,5,1097,0.0
Gabe,5,1097,0.0
Gaines,5,1097,0.0
Garry,5,1097,0.0
Gaylord,5,1097,0.0
Grace,5,1097,0.0
Graham,5,1097,0.0
Gray,5,1097,0.0
Gregory,5,1097,0.0
Griffin,5,1097,0.0
Guilford,5,1097,0.0
Guillermo,5,1097,0.0
Gustaf,5,1097,0.0
Hannibal,5,1097,0.0
Harlow,5,1097,0.0
Harrie,5,1097,0.0
Hendrix,5,1097,0.0
Henri,5,1097,0.0
Hershel,5,1097,0.0
Hilario,5,1097,0.0
Hilliard,5,1097,0.0
Hollie,5,1097,0.0
Horatio,5,1097,0.0
Huey,5,1097,0.0
Ignatius,5,1097,0.0
Isidro,5,1097,0.0
Jas,5,1097,0.0
Jeffrey,5,1097,0.0
Joeseph,5,1097,0.0
Kent,5,1097,0.0
Landon,5,1097,0.0
Lennie,5,1097,0.0
Lenord,5,1097,0.0
Leonardo,5,1097,0.0
Leonidas,5,1097,0.0
Linus,5,1097,0.0
Linzy,5,1097,0.0
Lionel,5,1097,0.0
Lisle,5,1097,0.0
Mae,5,1097,0.0
Malcom,5,1097,0.0
Marian,5,1097,0.0
Marie,5,1097,0.0
Martha,5,1097,0.0
Mathis,5,1097,0.0
Matilda,5,1097,0.0
Mattie,5,1097,0.0
Mauricio,5,1097,0.0
May,5,1097,0.0
Meyer,5,1097,0.0
Miner,5,1097,0.0
Murphy,5,1097,0.0
Myrtle,5,1097,0.0
Nestor,5,1097,0.0
Nettie,5,1097,0.0
Ng,5,1097,0.0
Nickolas,5,1097,0.0
Nina,5,1097,0.0
Norval,5,1097,0.0
Oakley,5,1097,0.0
Ocie,5,1097,0.0
Olden,5,1097,0.0
Olie,5,1097,0.0
Olive,5,1097,0.0
Ona,5,1097,0.0
Onnie,5,1097,0.0
Orie,5,1097,0.0
Orion,5,1097,0.0
Orlie,5,1097,0.0
Osborn,5,1097,0.0
Oswald,5,1097,0.0
Ottie,5,1097,0.0
Ova,5,1097,0.0
Perle,5,1097,0.0
Radford,5,1097,0.0
Randle,5,1097,0.0
Refugio,5,1097,0.0
Reinhold,5,1097,0.0
Rene,5,1097,0.0
Rennie,5,1097,0.0
Rich,5,1097,0.0
Rolley,5,1097,0.0
Rosendo,5,1097,0.0
Ruby,5,1097,0.0
Russel,5,1097,0.0
Ruth,5,1097,0.0
Sammie,5,1097,0.0
Samual,5,1097,0.0
Sebastian,5,1097,0.0
Sheldon,5,1097,0.0
Sip,5,1097,0.0
Sloan,5,1097,0.0
Solon,5,1097,0.0
Stella,5,1097,0.0
Terrell,5,1097,0.0
Theadore,5,1097,0.0
Theophilus,5,1097,0.0
Thornton,5,1097,0.0
Toby,5,1097,0.0
Val,5,1097,0.0
Vicente,5,1097,0.0
Voyle,5,1097,0.0
Wallie,5,1097,0.0
Willian,5,1097,0.0
Wirt,5,1097,0.0
Yee,5,1097,0.0
Zeb,5,1097,0.0
